modul,anahtar,yer_tutucular,turkce_kaynak,ar_mevcut,ar_duzeltme,not
aidat,aidatBakiye,,Bakiye,الرصيد,,
aidat,aidatBaslik,,Aidatım,رسومي,,
aidat,aidatBorcVar,,Borç var,يوجد دين,,
aidat,aidatBorcYok,,Borç yok,لا يوجد دين,,
aidat,aidatDaireYok,,Üzerinize kayıtlı daire bulunamadı. Yönetiminizle iletişime geçin.,لا توجد وحدة مسجّلة باسمك. تواصل مع الإدارة.,,
aidat,aidatDurumBasarili,,Başarılı,ناجح,,
aidat,aidatDurumIptal,,İptal,ملغى,,
aidat,aidatHesapSatiri,"tahakkuk,odenen,bakiye",Tahakkuk {tahakkuk} - ödenen {odenen} = {bakiye},المستحق {tahakkuk} - المدفوع {odenen} = {bakiye},,
aidat,aidatMakbuz,,Makbuz: {no},الإيصال: {no},,
aidat,aidatOdemeDurumuNotu,,Ödeme durumu yalnızca ödeme sağlayıcısından gelen onayla güncellenir; sorularınız için yönetiminize başvurun.,تُحدَّث حالة الدفع فقط بتأكيد من مزوّد الدفع؛ راجع الإدارة لأي أسئلة.,,
aidat,aidatOdemeler,n,Ödemeler ({n}),"{n, plural, zero{المدفوعات ({n})} one{دفعة ({n})} two{دفعتان ({n})} few{مدفوعات ({n})} many{مدفوعات ({n})} other{مدفوعات ({n})}}",,
aidat,aidatSonOdeme,,Son ödeme: {tarih},آخر موعد للدفع: {tarih},,
aidat,aidatTahakkuklar,n,Tahakkuklar ({n}),"{n, plural, zero{الاستحقاقات ({n})} one{استحقاق ({n})} two{استحقاقان ({n})} few{استحقاقات ({n})} many{استحقاقات ({n})} other{استحقاقات ({n})}}",,
aidat,aidatToplamBakiye,,Toplam bakiye (tüm daireler),الرصيد الإجمالي (كل الوحدات),,
aidat,aidatToplamOdenen,,Toplam ödenen,إجمالي المدفوع,,
aidat,aidatToplamTahakkuk,,Toplam tahakkuk,إجمالي المستحق,,
aidat,aidatYetkiYok,,Aidat bilgisi yalnızca site sakini hesabına açıktır.,معلومات الرسوم متاحة لحسابات السكان فقط.,,
aidat,aidatYontemDiger,,Diğer,أخرى,,
aidat,aidatYontemElden,,Elden,نقداً,,
aidat,aidatYontemHavale,,Havale/EFT,حوالة بنكية,,
aidat,aidatYontemKart,,Kart,بطاقة,,
akis,akisAidatOdemesi,,Aidat Ödemesi,دفع الرسوم,,
akis,akisAlarmEksikCheckpoint,,Eksik Kontrol Noktası,نقطة تفتيش ناقصة,,
akis,akisAlarmGecikmisOkutma,,Gecikmiş Okutma,مسح متأخر,,
akis,akisAlarmKacirilanTur,,Kaçırılan Tur,جولة فائتة,,
akis,akisAltAdDaire,"ad,daire",{ad} — Daire {daire},{ad} — الوحدة {daire},,
akis,akisAltDaireKategori,"daire,kategori",Daire {daire} — {kategori},الوحدة {daire} — {kategori},,
akis,akisAltDaireTutar,"daire,tutar",Daire {daire} — {tutar},الوحدة {daire} — {tutar},,
akis,akisAltMetinKonum,"metin,konum",{metin} — {konum},{metin} — {konum},,
akis,akisAltPlakaDaire,"plaka,daire",{plaka} — Daire {daire},{plaka} — الوحدة {daire},,
akis,akisAltPlakaDaireTanim,"plaka,daire,tanim",{plaka} — Daire {daire} ({tanim}),{plaka} — الوحدة {daire} ({tanim}),,
akis,akisAltPlakaTanim,"plaka,tanim",{plaka} ({tanim}),{plaka} ({tanim}),,
akis,akisAltPlanAralik,"plan,aralik",{plan} · {aralik},{plan} · {aralik},,
akis,akisAracCikisi,,Araç Çıkışı,خروج مركبة,,
akis,akisAracGirisi,,Araç Girişi,دخول مركبة,,
akis,akisDaireSikayeti,,Daire Şikayeti,شكوى بشأن وحدة,,
akis,akisDevriyeOkutma,,Devriye Okutması,مسح الدورية,,
akis,akisGorevTamamlandi,,Görev Tamamlandı,اكتملت المهمة,,
akis,akisIhlalKaydi,,İhlal Kaydı,سجل مخالفة,,
akis,akisKargoKaydedildi,,Kargo Kaydedildi,تم تسجيل الطرد,,
akis,akisKargoTeslimEdildi,,Kargo Teslim Edildi,تم تسليم الطرد,,
akis,akisTalepAcildi,,Talep Açıldı,تم فتح الطلب,,
akis,akisTalepCozuldu,,Talep Çözüldü,تم حل الطلب,,
akis,akisTalepIsEmri,,Talep İş Emrine Dönüştü,تحوّل الطلب إلى أمر عمل,,
akis,akisTalepReddedildi,,Talep Reddedildi,تم رفض الطلب,,
akis,akisZiyaretciCikisi,,Ziyaretçi Çıkışı,خروج زائر,,
akis,akisZiyaretciGirisi,,Ziyaretçi Girişi,دخول زائر,,
ana,anaAidatKaydiYok,,Aidat kaydı bulunamadı,لا يوجد سجل رسوم,,
ana,anaBildirimlerRolYok,,Bildirimler bu rolde kullanılamıyor,الإشعارات غير متاحة لهذا الدور,,
ana,anaBildirimlerYakinda,,Bildirimler yakında,الإشعارات قريباً,,
ana,anaBorcVar,,Borç Var,يوجد مستحق,,
ana,anaBorcYok,,Borç Yok,لا مستحقات,,
ana,anaBuAykiAidat,,Bu Ayki Aidat,رسوم هذا الشهر,,
ana,anaDaireAltBaslik,"daireler,rol",Daire {daireler}  •  {rol},شقة {daireler}  •  {rol},,
ana,anaDun,,Dün,أمس,,
ana,anaEtkinlikSuruyor,,Sürüyor,جارٍ,,
ana,anaEtkinlikYaklasan,,Yaklaşan,قادم,,
ana,anaGecmisOdemeler,,Geçmiş Ödemeler,سجل المدفوعات,,
ana,anaGelecekOdeme,,Gelecek Ödeme,الدفعة القادمة,,
ana,anaKarsilama,ad,"Merhaba, {ad}",مرحبًا، {ad},,
ana,anaOdendi,,Ödendi,مدفوع,,
ana,anaOdenmedi,,Ödenmedi,غير مدفوع,,
ana,anaOnline,,Online,متصل,,
ana,anaRaporlarYakinda,,Raporlar yakında,التقارير قريباً,,
ana,anaSelam,,"Merhaba, {ad}",مرحباً، {ad},,
ana,anaSonOdemeTarih,,Son Ödeme: {tarih},آخر دفعة: {tarih},,
ana,anaVardiyaAktif,,Aktif,نشطة,,
ana,anaVardiyaPlanlandi,,Planlandı,مجدولة,,
ana,anaYoneticiPaneli,,Yönetici Paneli,لوحة الإدارة,,
arac,aracAramaBos,,Bu plakayla eşleşen geçiş yok,لا توجد حركة مطابقة لهذه اللوحة,,
arac,aracCikisOnayBaslik,,Çıkış verilsin mi?,هل تُسجَّل مغادرة المركبة؟,,
arac,aracCikisVer,,Çıkış ver,تسجيل الخروج,,
arac,aracCikisVerildi,,Çıkış kaydedildi,تم تسجيل الخروج,,
arac,aracCikisZamani,zaman,Çıkış: {zaman},الخروج: {zaman},,
arac,aracDaire,no,Daire {no},الشقة {no},,
arac,aracDaireAlani,,Daire no (isteğe bağlı),رقم الشقة (اختياري),,
arac,aracErisimYok,,Araç geçiş listesi yalnız yönetim ve güvenlik içindir,قائمة مرور المركبات مخصّصة للإدارة والأمن فقط,,
arac,aracGirisKaydedildi,,Araç girişi kaydedildi,تم تسجيل دخول المركبة,,
arac,aracGirisZamani,zaman,Giriş: {zaman},الدخول: {zaman},,
arac,aracKaydeden,ad,Kaydeden: {ad},سجّلها: {ad},,
arac,aracListeBos,,Kayıtlı araç geçişi yok,لا توجد حركات مرور مسجّلة,,
arac,aracPlaka,,Plaka,اللوحة,,
arac,aracPlakaAra,,Plaka ara,البحث عن لوحة,,
arac,aracPlakaZorunlu,,Plaka zorunlu,اللوحة مطلوبة,,
arac,aracRozetCikti,,Çıktı,غادرت,,
arac,aracRozetIceride,,İçeride,بالداخل,,
arac,aracRozetZiyaretci,,Ziyaretçi,زائر,,
arac,aracSuzgecCikmis,,Çıkmış,غادرت,,
arac,aracSuzgecIceride,,İçeride,بالداخل,,
arac,aracSuzgecTumu,,Tümü,الكل,,
arac,aracTanimAlani,,Araç tanımı (isteğe bağlı),وصف المركبة (اختياري),,
arac,aracYeniGiris,,Yeni giriş,دخول جديد,,
arac,aracZatenIceride,,Bu plakanın açık geçişi zaten var (araç içeride),لهذه اللوحة حركة مفتوحة بالفعل (المركبة بالداخل),,
arac,aracZatenKapali,,Bu geçiş zaten kapatılmış,تم إغلاق هذه الحركة مسبقًا,,
arac,aracZiyaretciMi,,Ziyaretçi aracı,مركبة زائر,,
arama,aramaBaslatilamadi,,Arama başlatılamadı,تعذّر بدء الاتصال,,
arama,aramaYapilamiyor,,Aranamıyor,غير قابل للاتصال,,
ayarlar,ayarlarBaslik,,Ayarlar,الإعدادات,,
ayarlar,ayarlarDil,,Dil / Language,اللغة / Language,,
ayarlar,ayarlarGorunum,,Görünüm,المظهر,,
ayarlar,ayarlarKameralar,,Kameralar,الكاميرات,,
ayarlar,ayarlarKameralarAlt,,"Kamera ekle, düzenle, sil",إضافة الكاميرات وتعديلها وحذفها,,
ayarlar,ayarlarTema,,Tema,السمة,,
ayarlar,ayarlarTemaAcik,,Açık,فاتح,,
