modul,anahtar,yer_tutucular,turkce_kaynak,ru_mevcut,ru_duzeltme,not
aidat,aidatBakiye,,Bakiye,Остаток,,
aidat,aidatBaslik,,Aidatım,Мои взносы,,
aidat,aidatBorcVar,,Borç var,Есть долг,,
aidat,aidatBorcYok,,Borç yok,Долга нет,,
aidat,aidatDaireYok,,Üzerinize kayıtlı daire bulunamadı. Yönetiminizle iletişime geçin.,На вас не зарегистрирована квартира. Обратитесь к управлению.,,
aidat,aidatDurumBasarili,,Başarılı,Успешно,,
aidat,aidatDurumIptal,,İptal,Отменён,,
aidat,aidatHesapSatiri,"tahakkuk,odenen,bakiye",Tahakkuk {tahakkuk} - ödenen {odenen} = {bakiye},Начислено {tahakkuk} - оплачено {odenen} = {bakiye},,
aidat,aidatMakbuz,,Makbuz: {no},Квитанция: {no},,
aidat,aidatOdemeDurumuNotu,,Ödeme durumu yalnızca ödeme sağlayıcısından gelen onayla güncellenir; sorularınız için yönetiminize başvurun.,Статус платежа обновляется только по подтверждению от платёжного провайдера; с вопросами обращайтесь к управлению.,,
aidat,aidatOdemeler,n,Ödemeler ({n}),"{n, plural, one{Платёж ({n})} few{Платежа ({n})} many{Платежей ({n})} other{Платежей ({n})}}",,
aidat,aidatSonOdeme,,Son ödeme: {tarih},Срок оплаты: {tarih},,
aidat,aidatTahakkuklar,n,Tahakkuklar ({n}),"{n, plural, one{Начисление ({n})} few{Начисления ({n})} many{Начислений ({n})} other{Начислений ({n})}}",,
aidat,aidatToplamBakiye,,Toplam bakiye (tüm daireler),Общий остаток (все квартиры),,
aidat,aidatToplamOdenen,,Toplam ödenen,Всего оплачено,,
aidat,aidatToplamTahakkuk,,Toplam tahakkuk,Всего начислено,,
aidat,aidatYetkiYok,,Aidat bilgisi yalnızca site sakini hesabına açıktır.,Информация о взносах доступна только жителям.,,
aidat,aidatYontemDiger,,Diğer,Другое,,
aidat,aidatYontemElden,,Elden,Наличными,,
aidat,aidatYontemHavale,,Havale/EFT,Банковский перевод,,
aidat,aidatYontemKart,,Kart,Карта,,
akis,akisAidatOdemesi,,Aidat Ödemesi,Оплата взносов,,
akis,akisAlarmEksikCheckpoint,,Eksik Kontrol Noktası,Пропущенная контрольная точка,,
akis,akisAlarmGecikmisOkutma,,Gecikmiş Okutma,Позднее сканирование,,
akis,akisAlarmKacirilanTur,,Kaçırılan Tur,Пропущенный обход,,
akis,akisAltAdDaire,"ad,daire",{ad} — Daire {daire},{ad} — кв. {daire},,
akis,akisAltDaireKategori,"daire,kategori",Daire {daire} — {kategori},Кв. {daire} — {kategori},,
akis,akisAltDaireTutar,"daire,tutar",Daire {daire} — {tutar},Кв. {daire} — {tutar},,
akis,akisAltMetinKonum,"metin,konum",{metin} — {konum},{metin} — {konum},,
akis,akisAltPlakaDaire,"plaka,daire",{plaka} — Daire {daire},{plaka} — кв. {daire},,
akis,akisAltPlakaDaireTanim,"plaka,daire,tanim",{plaka} — Daire {daire} ({tanim}),{plaka} — кв. {daire} ({tanim}),,
akis,akisAltPlakaTanim,"plaka,tanim",{plaka} ({tanim}),{plaka} ({tanim}),,
akis,akisAltPlanAralik,"plan,aralik",{plan} · {aralik},{plan} · {aralik},,
akis,akisAracCikisi,,Araç Çıkışı,Выезд автомобиля,,
akis,akisAracGirisi,,Araç Girişi,Въезд автомобиля,,
akis,akisDaireSikayeti,,Daire Şikayeti,Жалоба на квартиру,,
akis,akisDevriyeOkutma,,Devriye Okutması,Сканирование обхода,,
akis,akisGorevTamamlandi,,Görev Tamamlandı,Задача выполнена,,
akis,akisIhlalKaydi,,İhlal Kaydı,Запись о нарушении,,
akis,akisKargoKaydedildi,,Kargo Kaydedildi,Посылка зарегистрирована,,
akis,akisKargoTeslimEdildi,,Kargo Teslim Edildi,Посылка выдана,,
akis,akisTalepAcildi,,Talep Açıldı,Заявка открыта,,
akis,akisTalepCozuldu,,Talep Çözüldü,Заявка решена,,
akis,akisTalepIsEmri,,Talep İş Emrine Dönüştü,Заявка стала нарядом,,
akis,akisTalepReddedildi,,Talep Reddedildi,Заявка отклонена,,
akis,akisZiyaretciCikisi,,Ziyaretçi Çıkışı,Выход посетителя,,
akis,akisZiyaretciGirisi,,Ziyaretçi Girişi,Вход посетителя,,
ana,anaAidatKaydiYok,,Aidat kaydı bulunamadı,Записей по взносам нет,,
ana,anaBildirimlerRolYok,,Bildirimler bu rolde kullanılamıyor,Уведомления недоступны для этой роли,,
ana,anaBildirimlerYakinda,,Bildirimler yakında,Уведомления скоро,,
ana,anaBorcVar,,Borç Var,Есть задолженность,,
ana,anaBorcYok,,Borç Yok,Задолженности нет,,
ana,anaBuAykiAidat,,Bu Ayki Aidat,Взносы за месяц,,
ana,anaDaireAltBaslik,"daireler,rol",Daire {daireler}  •  {rol},Квартира {daireler}  •  {rol},,
ana,anaDun,,Dün,Вчера,,
ana,anaEtkinlikSuruyor,,Sürüyor,Идёт,,
ana,anaEtkinlikYaklasan,,Yaklaşan,Предстоит,,
ana,anaGecmisOdemeler,,Geçmiş Ödemeler,История платежей,,
ana,anaGelecekOdeme,,Gelecek Ödeme,Следующий платёж,,
ana,anaKarsilama,ad,"Merhaba, {ad}","Здравствуйте, {ad}",,
